Unique ID,Link,Size (bytes),Category,organization
120,https://en.wikipedia.org/wiki/Battle_of_Tabqa,525549,"G, B","[0, 2, 3, 0, 0]"
121,https://en.wikipedia.org/wiki/Battle_of_Tell_Abyad_(2013),340536,"G, B","[0, 2, 3, 0, 0]"
122,https://en.wikipedia.org/wiki/Battle_of_Tell_Hamis_and_Tell_Brak_(2013–2014),369389,"G, B","[0, 2, 3, 0, 0]"
123,https://en.wikipedia.org/wiki/Battle_of_Yarmouk_Camp_(2015),411416,"G, B","[0, 2, 3, 0, 0]"
124,https://en.wikipedia.org/wiki/Battle_of_al-Bab,739714,"G, B","[0, 2, 3, 0, 0]"
125,https://en.wikipedia.org/wiki/Battle_of_al-Hasakah_(2022),441153,"G, B","[0, 2, 3, 0, 0]"
126,https://en.wikipedia.org/wiki/Battle_of_al-Yaarubiyah,377076,"G, B","[0, 2, 3, 0, 0]"
127,https://en.wikipedia.org/wiki/Beabadoobee,342511,"G, B","[0, 2, 3, 0, 0]"
128,https://en.wikipedia.org/wiki/Bear_Magazine,69119,"G, B","[0, 2, 3, 0, 0]"
129,https://en.wikipedia.org/wiki/BelAmi,95791,"G, B","[0, 2, 3, 0, 0]"
130,https://en.wikipedia.org/wiki/Bela_Ewald_Althans,134823,"G, B","[0, 2, 3, 0, 0]"
131,https://en.wikipedia.org/wiki/Bella_Thorne,381117,"G, B","[0, 2, 3, 0, 0]"
132,https://en.wikipedia.org/wiki/Belladonna_of_Sadness,161285,"G, B","[0, 2, 3, 0, 0]"
133,https://en.wikipedia.org/wiki/Ben_Sherwood_(Holby_City),177270,"G, B","[0, 2, 3, 0, 0]"
134,https://en.wikipedia.org/wiki/Benny_Paret_vs._Emile_Griffith_III,107019,"G, B","[0, 2, 3, 0, 0]"
135,https://en.wikipedia.org/wiki/Bevan_Spencer_von_Einem,117651,"G, B","[0, 2, 3, 0, 0]"
136,https://en.wikipedia.org/wiki/Bi_the_Way,75028,"G, B","[0, 2, 3, 0, 0]"
137,https://en.wikipedia.org/wiki/Big_Brother:_Celebrity_Hijack,205772,"G, B","[0, 2, 3, 0, 0]"
138,https://en.wikipedia.org/wiki/Billie_Holiday,654578,"G, B","[0, 2, 3, 0, 0]"
139,https://en.wikipedia.org/wiki/Billie_Myers,108131,"G, B","[0, 2, 3, 0, 0]"
140,https://en.wikipedia.org/wiki/Billy_Herrington,156668,"G, B","[0, 2, 3, 0, 0]"
141,https://en.wikipedia.org/wiki/Billy_Mansfield,141425,"G, B","[0, 2, 3, 0, 0]"
142,https://en.wikipedia.org/wiki/Bingham_Cup,131861,"G, B","[0, 2, 3, 0, 0]"
143,https://en.wikipedia.org/wiki/Black_Cat_(Marvel_Comics),611414,"G, B","[0, 2, 3, 0, 0]"
144,https://en.wikipedia.org/wiki/Blake_McGrath,102672,"G, B","[0, 2, 3, 0, 0]"
145,https://en.wikipedia.org/wiki/Blame_It_on_the_Alcohol,174431,"G, B","[0, 2, 3, 0, 0]"
146,https://en.wikipedia.org/wiki/Blood_donation,426104,"G, B","[0, 2, 3, 0, 0]"
147,https://en.wikipedia.org/wiki/Blowin'_Away,96698,"G, B","[0, 2, 3, 0, 0]"
148,https://en.wikipedia.org/wiki/Blue_Moves,189535,"G, B","[0, 2, 3, 0, 0]"
149,https://en.wikipedia.org/wiki/Bobby_Blake,111820,"G, B","[0, 2, 3, 0, 0]"
150,https://en.wikipedia.org/wiki/Boko_Haram,1024157,"G, B","[0, 2, 3, 0, 0]"
151,https://en.wikipedia.org/wiki/Boko_Haram_insurgency,884530,"G, B","[0, 2, 3, 0, 0]"
152,https://en.wikipedia.org/wiki/Bolton_Law_Courts,78488,"G, B","[0, 2, 3, 0, 0]"
153,https://en.wikipedia.org/wiki/Book_of_Love_(band),255450,"G, B","[0, 2, 3, 0, 0]"
154,https://en.wikipedia.org/wiki/Books_of_Blood,161538,"G, B","[0, 2, 3, 0, 0]"
155,https://en.wikipedia.org/wiki/Boy_Is_a_Bottom,90577,"G, B","[0, 2, 3, 0, 0]"
156,https://en.wikipedia.org/wiki/Boy_Meets_Boy_(novel),80234,"G, B","[0, 2, 3, 0, 0]"
157,https://en.wikipedia.org/wiki/Boyfriend_(Tegan_and_Sara_song),124834,"G, B","[0, 2, 3, 0, 0]"
158,https://en.wikipedia.org/wiki/Brandon_McInnis,145064,"G, B","[0, 2, 3, 0, 0]"
159,https://en.wikipedia.org/wiki/Brendan_Behan,196622,"G, B","[0, 2, 3, 0, 0]"
160,https://en.wikipedia.org/wiki/Brendon_Urie,300304,"G, B","[0, 2, 3, 0, 0]"
161,https://en.wikipedia.org/wiki/Bret_Easton_Ellis,222043,"G, B","[0, 2, 3, 0, 0]"
162,https://en.wikipedia.org/wiki/Brett_Peter_Cowan,169687,"G, B","[0, 2, 3, 0, 0]"
163,https://en.wikipedia.org/wiki/Brian_Epstein,381730,"G, B","[0, 2, 3, 0, 0]"
164,https://en.wikipedia.org/wiki/Brighton_&_Hove_Sea_Serpents_RFC,211361,"G, B","[0, 2, 3, 0, 0]"
165,https://en.wikipedia.org/wiki/Broad_City,251828,"G, B","[0, 2, 3, 0, 0]"
166,https://en.wikipedia.org/wiki/Brooke_Knows_Best,107591,"G, B","[0, 2, 3, 0, 0]"
